price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreig
4099,22,3.0,2.5,11,2930,186,40,121,3.5799999,Domestic
4749,17,3.0,3.0,11,3350,173,40,258,2.53,Domestic
3799,22,,3.0,12,2640,168,35,121,3.0799999,Domestic
4816,20,3.0,4.5,16,3250,196,40,196,2.9300001,Domestic
7827,15,4.0,4.0,20,4080,222,43,350,2.4100001,Domestic
5788,18,3.0,4.0,21,3670,218,43,231,2.73,Domestic
4453,26,,3.0,10,2230,170,34,304,2.8699999,Domestic
5189,20,3.0,2.0,16,3280,200,42,196,2.9300001,Domestic
10372,16,3.0,3.5,17,3880,207,43,231,2.9300001,Domestic
4082,19,3.0,3.5,13,3400,200,42,231,3.0799999,Domestic
11385,14,3.0,4.0,20,4330,221,44,425,2.28,Domestic
14500,14,2.0,3.5,16,3900,204,43,350,2.1900001000000002,Domestic
15906,21,3.0,3.0,13,4290,204,45,350,2.24,Domestic
3299,29,3.0,2.5,9,2110,163,34,231,2.9300001,Domestic
5705,16,4.0,4.0,20,3690,212,43,250,2.5599998999999998,Domestic
4504,22,3.0,3.5,17,3180,193,31,200,2.73,Domestic
5104,22,2.0,2.0,16,3220,200,41,200,2.73,Domestic
3667,24,2.0,2.0,7,2750,179,40,151,2.73,Domestic
3955,19,3.0,3.5,13,3430,197,43,250,2.5599998999999998,Domestic
3984,30,5.0,2.0,8,2120,163,35,98,3.54,Domestic
4010,18,2.0,4.0,17,3600,206,46,318,2.47,Domestic
5886,16,2.0,4.0,17,3600,206,46,318,2.47,Domestic
6342,17,2.0,4.5,21,3740,220,46,225,2.9400001000000002,Domestic
4389,28,4.0,1.5,9,1800,147,33,98,3.1500001,Domestic
4187,21,3.0,2.0,10,2650,179,43,140,3.0799999,Domestic
11497,12,3.0,3.5,22,4840,233,51,400,2.47,Domestic
13594,12,3.0,2.5,18,4720,230,48,400,2.47,Domestic
13466,14,3.0,3.5,15,3830,201,41,302,2.47,Domestic
3829,22,4.0,3.0,9,2580,169,39,140,2.73,Domestic
5379,14,4.0,3.5,16,4060,221,48,302,2.75,Domestic
6165,15,3.0,3.5,23,3720,212,44,302,2.26,Domestic
4516,18,3.0,3.0,15,3370,198,41,250,2.4300001,Domestic
6303,14,4.0,3.0,16,4130,217,45,302,2.75,Domestic
3291,20,3.0,3.5,17,2830,195,43,140,3.0799999,Domestic
8814,21,4.0,4.0,20,4060,220,43,350,2.4100001,Domestic
5172,19,3.0,2.0,16,3310,198,42,231,2.9300001,Domestic
4733,19,3.0,4.5,16,3300,198,42,231,2.9300001,Domestic
4890,18,4.0,4.0,20,3690,218,42,231,2.73,Domestic
4181,19,3.0,4.5,14,3370,200,43,231,3.0799999,Domestic
4195,24,1.0,2.0,10,2730,180,40,151,2.73,Domestic
10371,16,3.0,3.5,17,4030,206,43,350,2.4100001,Domestic
4647,28,3.0,2.0,11,3260,170,37,156,3.05,Domestic
4425,34,5.0,2.5,11,1800,157,37,86,2.97,Domestic
4482,25,3.0,4.0,17,2200,165,36,105,3.3699999,Domestic
6486,26,,1.5,8,2520,182,38,119,3.54,Domestic
4060,18,2.0,5.0,16,3330,201,44,225,3.23,Domestic
5798,18,4.0,4.0,20,3700,214,42,231,2.73,Domestic
4934,18,1.0,1.5,7,3470,198,42,231,3.0799999,Domestic
5222,19,3.0,2.0,16,3210,201,45,231,2.9300001,Domestic
4723,19,3.0,3.5,17,3200,199,40,231,2.9300001,Domestic
4424,19,,3.5,13,3420,203,43,231,3.0799999,Domestic
4172,24,2.0,2.0,7,2690,179,41,151,2.73,Domestic
9690,17,5.0,3.0,15,2830,189,37,131,3.2,Foreign
6295,23,3.0,2.5,11,2070,174,36,97,3.7,Foreign
9735,25,4.0,2.5,12,2650,177,34,121,3.6400001000000004,Foreign
6229,23,4.0,1.5,6,2370,170,35,119,3.8900001000000004,Foreign
4589,35,5.0,2.0,8,2020,165,32,85,3.7,Foreign
5079,24,4.0,2.5,8,2280,170,34,119,3.54,Foreign
8129,21,4.0,2.5,8,2750,184,38,146,3.55,Foreign
4296,21,3.0,2.5,16,2130,161,36,105,3.3699999,Foreign
5799,25,5.0,3.0,10,2240,172,36,107,3.05,Foreign
4499,28,4.0,2.5,5,1760,149,34,91,3.3,Foreign
3995,30,4.0,3.5,11,1980,154,33,86,3.73,Foreign
12990,14,,3.5,14,3420,192,38,163,3.5799999,Foreign
3895,26,3.0,3.0,10,1830,142,34,79,3.72,Foreign
3798,35,5.0,2.5,11,2050,164,36,97,3.8099998999999998,Foreign
5899,18,5.0,2.5,14,2410,174,36,134,3.0599998999999998,Foreign
3748,31,5.0,3.0,9,2200,165,35,97,3.21,Foreign
5719,18,5.0,2.0,11,2670,175,36,134,3.05,Foreign
7140,23,4.0,2.5,12,2160,172,36,97,3.74,Foreign
5397,41,5.0,3.0,15,2040,155,35,90,3.78,Foreign
4697,25,4.0,3.0,15,1930,155,35,89,3.78,Foreign
6850,25,4.0,2.0,16,1990,156,36,97,3.78,Foreign
11995,17,5.0,2.5,14,3170,193,37,163,2.98,Foreign
