LOCAL;label
2001010;COMUNA 1
2002010;COMUNA 2
2003010;COMUNA 3
2004010;COMUNA 4
2005010;COMUNA 5
2006010;COMUNA 6
2007010;COMUNA 7
2008010;COMUNA 8
2009010;COMUNA 9
2010010;COMUNA 10
2011010;COMUNA 11
2012010;COMUNA 12
2013010;COMUNA 13
2014010;COMUNA 14
2015010;COMUNA 15
6007000;ZONA RURAL
6007010;CARHUE
6007020;CNIA. SAN MIGUEL ARCANGEL
6007030;DELFIN HUERGO
6007040;ESPARTILLAR
6007050;ESTEBAN AGUSTIN GASCON
6007060;LA PALA
6007070;MAZA
6007080;RIVERA
6007100;VILLA MARGARITA
6007110;YUTUYACO
6014000;ZONA RURAL
6014010;ADOLFO GONZALES CHAVES
6014020;DE LA GARMA
6014030;JUAN E. BARRA
6014040;VASQUEZ
6021000;ZONA RURAL
6021010;ALBERTI
6021020;CORONEL SEGUI
6021030;MECHITA
6021040;PLA
6021050;VILLA GRISOLIA
6021060;VILLA MARIA
6021070;VILLA ORTIZ
6028000;ZONA RURAL
6028010;ALMIRANTE BROWN
6035010;AVELLANEDA
6042000;ZONA RURAL
6042010;AYACUCHO
6042020;LA CONSTANCIA
6042030;SOLANET
6042040;UDAQUIOLA
6049000;ZONA RURAL
6049010;ARIEL
6049020;AZUL
6049030;CACHARI
6049040;CHILLAR
6049050;16 DE JULIO
6056000;ZONA RURAL
6056010;BAHIA BLANCA
6056020;CABILDO
6056030;GENERAL DANIEL CERRI
6063000;ZONA RURAL
6063010;BALCARCE
6063020;LOS PINOS
6063030;NAPALEUFU
6063040;RAMOS OTERO
6063050;SAN AGUSTIN
6063060;VILLA LAGUNA LA BRAVA
6070000;ZONA RURAL
6070010;BARADERO
6070020;IRINEO PORTELA
6070030;SANTA COLOMA
6070040;VILLA ALSINA
6077000;ZONA RURAL
6077010;ARRECIFES
6077020;TODD
6077030;VIÑA
6084000;ZONA RURAL
6084010;BARKER
6084020;BENITO JUAREZ
6084030;LOPEZ
6084040;TEDIN URIBURU
6084050;VILLA CACIQUE
6091000;ZONA RURAL
6091010;BERAZATEGUI
6098000;ZONA RURAL
6098010;BERISSO
6105000;ZONA RURAL
6105010;HALE
6105020;JUAN F. IBARRA
6105040;PAULA
6105050;PIROVANO
6105060;SAN CARLOS DE BOLIVAR
6105070;URDAMPILLETA
6105080;VILLA LYNCH PUEYRREDON
6112000;ZONA RURAL
6112005;ASAMBLEA
6112010;BRAGADO
6112020;COMODORO PY
6112030;GENERAL O BRIEN
6112040;IRALA
6112050;LA LIMPIA
6112060;JUAN F.SALABERRY
6112070;MECHITA
6112080;OLASCOAGA
6112090;WARNES
6119000;ZONA RURAL
6119010;ALTAMIRANO
6119015;BARRIO EL MIRADOR
6119020;BARRIO LAS GOLONDRINAS
6119030;BARRIO LOS BOSQUECITOS
6119040;BARRIO PARQUE LAS ACACIAS
6119045;CAMPOS DE ROCA
6119050;CORONEL BRANDSEN
6119055;CLUB DE CAMPO LAS MALVINAS
6119060;GOMEZ
6119070;JEPPENER
6119080;OLIDEN
6119085;POSADA DE LOS LAGOS
6119090;SAMBOROMBON
6126000;ZONA RURAL
6126010;LOS CARDALES
6126020;BARRIO LOS PIONEROS (BARRIO TAVELLA)
6126030;CAMPANA
6126035;CHACRAS DEL RIO LUJAN
6126040;RIO LUJAN
6134000;ZONA RURAL
6134010;ALEJANDRO PETION
6134020;BARRIO EL TALADRO
6134030;CAÑUELAS
6134040;GOBERNADOR UDAONDO
6134050;MAXIMO PAZ
6134060;SANTA ROSA
6134070;URIBELARREA
6134080;VICENTE CASARES
6140000;ZONA RURAL
6140010;CAPITAN SARMIENTO
6140020;LA LUISA
6147000;ZONA RURAL
6147010;BELLOCQ
6147020;CADRET
6147030;CARLOS CASARES
6147040;COLONIA MAURICIO
6147050;HORTENSIA
6147060;LA SOFIA
6147070;MAURICIO HIRSCH
6147080;MOCTEZUMA
6147090;ORDOQUI
6147095;SANTO TOMAS
6147100;SMITH
6154000;ZONA RURAL
