MUNI;label
20010001;COMUNA 1
20020001;COMUNA 2
20030001;COMUNA 3
20040001;COMUNA 4
20050001;COMUNA 5
20060001;COMUNA 6
20070001;COMUNA 7
20080001;COMUNA 8
20090001;COMUNA 9
20100001;COMUNA 10
20110001;COMUNA 11
20120001;COMUNA 12
20130001;COMUNA 13
20140001;COMUNA 14
20150001;COMUNA 15
60070007;ADOLFO ALSINA
60140014;ADOLFO GONZALES CHAVES
60210021;ALBERTI
60280028;ALMIRANTE BROWN
60350035;AVELLANEDA
60420042;AYACUCHO
60490049;AZUL
60560056;BAHIA BLANCA
60630063;BALCARCE
60700070;BARADERO
60770077;ARRECIFES
60840084;BENITO JUAREZ
60910091;BERAZATEGUI
60980098;BERISSO
61050105;BOLIVAR
61120112;BRAGADO
61190119;BRANDSEN
61260126;CAMPANA
61340134;CAÑUELAS
61400140;CAPITAN SARMIENTO
61470147;CARLOS CASARES
61540154;CARLOS TEJEDOR
61610161;CARMEN DE ARECO
61680168;CASTELLI
61750175;COLON
61820182;CORONEL DE MARINA L. ROSALES
61890189;CORONEL DORREGO
61960196;CORONEL PRINGLES
62030203;CORONEL SUAREZ
62100210;CHACABUCO
62170217;CHASCOMUS
62240224;CHIVILCOY
62310231;DAIREAUX
62380238;DOLORES
62450245;ENSENADA
62520252;ESCOBAR
62600260;ESTEBAN ECHEVERRIA
62660266;EXALTACION DE LA CRUZ
62700270;EZEIZA
62740274;FLORENCIO VARELA
62770277;FLORENTINO AMEGHINO
62800280;GENERAL ALVARADO
62870287;GENERAL ALVEAR
62940294;GENERAL ARENALES
63010301;GENERAL BELGRANO
63080308;GENERAL GUIDO
63150315;GENERAL JUAN MADARIAGA
63220322;GENERAL LA MADRID
63290329;GENERAL LAS HERAS
63360336;GENERAL LAVALLE
63430343;GENERAL PAZ
63510351;GENERAL PINTO
63570357;GENERAL PUEYRREDON
63640364;GENERAL RODRIGUEZ
63710371;GENERAL SAN MARTIN
63850385;GENERAL VIAMONTE
63920392;GENERAL VILLEGAS
63990399;GUAMINI
64060406;HIPOLITO YRIGOYEN
64080408;HURLINGHAM
64100410;ITUZAINGO
64120412;JOSE C. PAZ
64130413;JUNIN
64200420;LA COSTA
64270427;LA MATANZA
64340434;LANUS
64410441;LA PLATA
64480448;LAPRIDA
64550455;LAS FLORES
64620462;LEANDRO N. ALEM
64690469;LINCOLN
64760476;LOBERIA
64830483;LOBOS
64900490;LOMAS DE ZAMORA
64970497;LUJAN
65050505;MAGDALENA
65110511;MAIPU
65150515;MALVINAS ARGENTINAS
65180518;MAR CHIQUITA
65250525;MARCOS PAZ
65320532;MERCEDES
65390539;MERLO
65470547;MONTE
65530553;MONTE HERMOSO
65600560;MORENO
65680568;MORON
65740574;NAVARRO
65810581;NECOCHEA
65880588;9 DE JULIO
65950595;OLAVARRIA
66020602;PATAGONES
66090609;PEHUAJO
66160616;PELLEGRINI
66230623;PERGAMINO
66300630;PILA
66380638;PILAR
66440644;PINAMAR
66480648;PRESIDENTE PERON
66510651;PUAN
66550655;PUNTA INDIO
66580658;QUILMES
66650665;RAMALLO
66720672;RAUCH
66790679;RIVADAVIA
66860686;ROJAS
66930693;ROQUE PEREZ
67000700;SAAVEDRA
67070707;SALADILLO
67140714;SALTO
67210721;SALLIQUELO
67280728;SAN ANDRES DE GILES
67350735;SAN ANTONIO DE ARECO
67420742;SAN CAYETANO
67490749;SAN FERNANDO
67560756;SAN ISIDRO
67600760;SAN MIGUEL
67630763;SAN NICOLAS
67700077;SAN PEDRO
67780778;SAN VICENTE
67840784;SUIPACHA
67910079;TANDIL
67980079;TAPALQUE
68050805;TIGRE
68120812;TORDILLO
68190819;TORNQUIST
68260826;TRENQUE LAUQUEN
68330833;TRES ARROYOS
68400840;TRES DE FEBRERO
68470847;TRES LOMAS
68540854;25 DE MAYO
68610861;VICENTE LOPEZ
68680868;VILLA GESELL
68750875;VILLARINO
68820882;ZARATE
100070007;EL RODEO
100070014;LA PUERTA
100070021;LAS JUNTAS
100070028;LOS VARELA
100140035;ANCASTI
100210042;ACONQUIJA
100210049;ANDALGALA
100280056;ANTOFAGASTA DE LA SIERRA
100350063;BELEN
100350070;CORRAL QUEMADO
100350077;HUALFIN
100350084;LONDRES
100350091;POZO DE PIEDRA
100350098;PUERTA DE CORRAL QUEMADO
100350105;PUERTA DE SAN JOSE
100350112;SAN FERNANDO
100350119;VILLA VIL
100420126;CAPAYAN
100420133;HUILLAPIMA
100490140;SAN FERNANDO DEL VALLE DE CATAMARCA
100560147;EL ALTO
100560154;TAPSO
100630161;FRAY MAMERTO ESQUIU
100700168;ICAÑO
100700175;RECREO
100770182;PACLIN
100840185;MUTQUIN
100840189;POMAN
100840196;SAUJIL
100910203;SAN JOSE
100910210;SANTA MARIA
100980213;LOS ALTOS
100980217;SANTA ROSA
101050224;FIAMBALA
101050231;TINOGASTA
101120238;VALLE VIEJO
220070007;CONCEPCION DEL BERMEJO
220070014;LOS FRENTONES
220070021;PAMPA DEL INFIERNO
220070028;TACO POZO
220140035;GENERAL VEDIA
