CODIGO_MESA_2019,CODIGO_CIRCUITO_2017
0100100001X,01001000001
0100100002X,01001000001
0100100003X,01001000001
0100100004X,01001000001
0100100005X,01001000001
0100100006X,01001000001
0100100007X,01001000001
0100100008X,01001000001
0100100009X,01001000001
0100100010X,01001000001
0100100011X,01001000001
0100100012X,01001000001
0100100013X,01001000001
0100100014X,01001000001
0100100015X,01001000001
0100100016X,01001000001
0100100017X,01001000001
0100100018X,01001000001
0100100019X,01001000001
0100100020X,01001000001
0100100021X,01001000001
0100100022X,01001000001
0100100023X,01001000001
0100100024X,01001000001
0100100025X,01001000001
0100100026X,01001000001
0100100027X,01001000001
0100100028X,01001000001
0100100029X,01001000001
0100100030X,01001000001
0100100031X,01001000002
0100100032X,01001000002
0100100033X,01001000002
0100100034X,01001000002
0100100035X,01001000002
0100100036X,01001000002
0100100037X,01001000002
0100100038X,01001000002
0100100039X,01001000002
0100100040X,01001000002
0100100041X,01001000002
0100100042X,01001000002
0100100043X,01001000002
0100100044X,01001000002
0100100045X,01001000002
0100100046X,01001000002
0100100047X,01001000002
0100100048X,01001000002
0100100049X,01001000002
0100100050X,01001000002
0100100051X,01001000002
0100100052X,01001000002
0100100053X,01001000002
0100100054X,01001000002
0100100055X,01001000002
0100100056X,01001000002
0100100057X,01001000002
0100100058X,01001000002
0100100059X,01001000003
0100100060X,01001000003
0100100061X,01001000003
0100100062X,01001000003
0100100063X,01001000003
0100100064X,01001000003
0100100065X,01001000003
0100100066X,01001000004
0100100067X,01001000004
0100100068X,01001000004
0100100069X,01001000004
0100100070X,01001000004
0100100071X,01001000004
0100100072X,01001000004
0100100073X,01001000005
0100100074X,01001000005
0100100075X,01001000005
0100100076X,01001000005
0100100077X,01001000005
0100100078X,01001000005
0100100079X,01001000005
0100100080X,01001000005
0100100081X,01001000005
0100100082X,01001000005
0100100083X,01001000005
0100100084X,01001000005
0100100085X,01001000005
0100100086X,01001000005
0100100087X,01001000005
0100100088X,01001000005
0100100089X,01001000005
0100100090X,01001000005
0100100091X,01001000005
0100100092X,01001000005
0100100093X,01001000005
0100100094X,01001000005
0100100095X,01001000005
0100100096X,01001000005
0100100097X,01001000005
0100100098X,01001000005
0100100099X,01001000006
0100100100X,01001000006
0100100101X,01001000006
0100100102X,01001000006
0100100103X,01001000006
0100100104X,01001000006
0100100105X,01001000006
0100100106X,01001000006
0100100107X,01001000006
0100100108X,01001000006
0100100109X,01001000006
0100100110X,01001000006
0100100111X,01001000006
0100100112X,01001000006
0100100113X,01001000006
0100100114X,01001000006
0100100115X,01001000006
0100100116X,01001000006
0100100117X,01001000006
0100100118X,01001000006
0100100119X,01001000006
0100100120X,01001000006
0100100121X,01001000006
0100100122X,01001000006
0100100123X,01001000006
0100100124X,01001000006
0100100125X,01001000006
0100100126X,01001000006
0100100127X,01001000006
0100100128X,01001000006
0100100129X,01001000006
0100100130X,01001000006
0100100131X,01001000006
0100100132X,01001000006
0100100133X,01001000006
0100100134X,01001000006
0100100135X,01001000006
0100100136X,01001000006
0100100137X,01001000006
0100100138X,01001000006
0100100139X,01001000006
0100100140X,01001000006
0100100141X,01001000006
0100100142X,01001000006
0100100143X,01001000006
0100100144X,01001000007
0100100145X,01001000007
0100100146X,01001000007
0100100147X,01001000007
0100100148X,01001000007
0100100149X,01001000007
0100100150X,01001000007
0100100151X,01001000007
0100100152X,01001000007
0100100153X,01001000007
0100100154X,01001000007
0100100155X,01001000007
0100100156X,01001000007
0100100157X,01001000007
0100100158X,01001000007
0100100159X,01001000007
0100100160X,01001000007
0100100161X,01001000007
0100100162X,01001000007
0100100163X,01001000007
0100100164X,01001000007
0100100165X,01001000007
0100100166X,01001000007
0100100167X,01001000007
0100100168X,01001000008
0100100169X,01001000008
0100100170X,01001000008
0100100171X,01001000008
0100100172X,01001000008
0100100173X,01001000008
0100100174X,01001000008
0100100175X,01001000008
0100100176X,01001000008
0100100177X,01001000008
0100100178X,01001000008
0100100179X,01001000008
0100100180X,01001000008
0100100181X,01001000008
0100100182X,01001000008
0100100183X,01001000008
0100100184X,01001000008
0100100185X,01001000008
0100100186X,01001000008
0100100187X,01001000008
0100100188X,01001000008
0100100189X,01001000008
0100100190X,01001000008
0100100191X,01001000008
0100100192X,01001000008
0100100193X,01001000009
0100100194X,01001000009
0100100195X,01001000009
0100100196X,01001000009
0100100197X,01001000009
0100100198X,01001000009
0100100199X,01001000009
0100100200X,01001000009
0100100201X,01001000009
0100100202X,01001000009
