club,Pts_2012_13 ,Pts_2013_14 ,Pts_2014,inversion_abs,inversion_relativa,valor,libertadores,sudamericana,ascenso,Pos,Pts,PJ,PG,PE,PP,GF,GC,Dif,Pos_Fecha_1,Pos_Fecha_2,Pos_Fecha_3,Pos_Fecha_4,Pos_Fecha_5,Pos_Fecha_6,Pos_Fecha_7,Pos_Fecha_8,Pos_Fecha_9,Pos_Fecha_10,Pos_Fecha_11,Pos_Fecha_12,Pos_Fecha_13,Pos_Fecha_14,Pos_Fecha_15,Pos_Fecha_16,Pos_Fecha_17,Pos_Fecha_18,Pos_Fecha_19,Pos_Fecha_20,Pos_Fecha_21,Pos_Fecha_22,Pos_Fecha_23,Pos_Fecha_24,Pos_Fecha_25,Pos_Fecha_26,Pos_Fecha_27,Pos_Fecha_28,Pos_Fecha_29,Pos_Fecha_30
Quilmes,50,45,12,6.33,0.650965567,13.23,0,0,0,11,45,30,13,6,11,38,37,1,19,18,24,23,19,20,22,20,22,23,21,20,23,23,23,23,23,21,18,15,15,15,14,13,13,11,11,11,11,11
Olimpo,0,50,19,2.25,0.25489225,10,0,0,0,18,36,30,8,12,10,23,26,-3,25,25,29,29,29,25,26,27,28,30,28,25,25,26,28,28,26,26,22,22,24,22,23,21,22,20,20,18,17,18
Banfield,0,0,20,7.55,0.590507433,16.93,0,0,0,8,50,30,14,8,8,38,32,6,19,12,12,18,13,9,5,6,7,9,10,9,10,10,12,10,14,13,12,9,9,8,9,7,6,8,9,10,9,8
Godoy Cruz,0,0,20,3.4,0.301022445,13.08,0,0,0,22,32,30,8,8,14,32,40,-8,14,18,14,8,16,19,18,21,23,24,22,21,19,22,22,18,19,17,19,19,21,23,25,23,25,25,23,21,22,22
Rosario Central,0,54,21,10.83,1.088255815,16.33,0,0,0,3,59,30,16,11,3,47,26,21,8,4,3,1,1,1,3,4,4,4,5,3,3,5,5,4,6,4,4,6,4,3,3,3,3,3,3,2,3,3
Defensa y Justicia,49,56,21,1.27,0.20341197,6.9,0,0,0,21,32,30,8,8,14,27,31,-4,8,14,18,15,18,18,17,19,18,21,24,24,24,25,27,26,24,22,24,25,22,24,21,19,20,22,19,20,20,21
Gimnasia y Esgrima,0,57,24,2.25,0.245660411,10.33,0,0,0,12,44,30,12,8,10,41,38,3,19,20,27,25,20,24,25,25,19,18,17,18,15,13,8,8,7,7,8,8,8,9,12,12,12,14,14,12,12,12
Atlético de Rafaela,43,49,25,-2.15,-0.223609643,8.58,0,0,0,29,23,30,4,11,15,29,51,-22,27,30,30,30,30,30,30,28,29,29,26,26,28,28,26,27,28,28,27,27,27,27,27,27,27,28,28,29,29,29
Estudiantes,59,49,25,6.35,0.378535696,20.15,1,0,0,7,51,30,14,9,7,34,28,6,8,4,2,4,5,11,14,15,16,20,18,17,13,15,10,12,11,12,11,11,11,10,8,10,8,10,8,6,8,7
Aldosivi,74,56,25,0.18,0.027110094,6.73,0,0,1,15,40,30,11,7,12,37,40,-3,27,29,27,25,21,21,21,17,20,11,8,11,9,11,14,15,16,16,17,18,18,17,19,18,17,18,16,16,15,15
Nueva Chicago,61,61,25,0,0,3.75,0,0,1,26,29,30,7,8,15,29,38,-9,25,24,21,27,28,29,28,29,30,28,30,29,29,30,30,30,30,30,30,30,28,29,29,29,29,29,29,28,28,26
Arsenal,60,48,26,0.28,0.019802627,14.28,0,1,0,28,27,30,7,6,17,25,44,-19,19,28,25,24,24,26,29,30,26,27,29,30,30,29,29,29,29,27,29,29,30,28,28,28,28,27,27,27,27,28
Tigre,34,49,26,2.97,0.239404072,13.95,0,1,0,10,46,30,12,10,8,32,25,7,16,20,16,16,12,8,10,12,9,6,6,7,8,9,7,7,8,8,9,10,10,11,10,8,9,9,10,9,10,10
San Lorenzo,58,60,26,0.75,0.02001401,37.85,1,0,0,2,61,30,18,7,5,44,20,24,4,2,8,3,3,2,1,2,1,5,2,4,1,1,1,2,2,2,1,1,1,2,1,2,2,2,2,3,2,2
Belgrano,48,59,31,-0.05,-0.005678607,8.78,0,1,0,6,51,30,14,9,7,33,23,10,2,7,13,8,15,10,6,5,5,3,4,2,4,6,6,6,5,6,6,5,6,6,7,9,10,7,6,7,6,6
Boca Juniors,51,61,31,8.53,0.248045431,38.83,1,0,0,1,64,30,20,4,6,49,26,23,2,1,1,2,2,3,2,1,2,1,1,1,2,3,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1
Independiente,0,0,33,4.3,0.293616808,16.9,0,1,0,5,54,30,14,12,4,44,22,22,7,9,7,11,11,5,7,8,11,13,12,14,17,16,16,13,12,9,7,7,7,7,6,6,5,6,5,5,5,5
