,circuito,urna,pp1,pp2,pp3,pp4,nv
0,0001,0,64,74,49,50,63
1,0001,1,79,81,44,36,60
2,0001,2,72,74,55,34,65
3,0001,3,82,80,37,38,63
4,0001,4,64,87,57,28,64
5,0001,5,69,90,39,50,52
6,0001,6,86,82,41,36,55
7,0001,7,71,71,54,41,63
8,0001,8,86,67,41,46,60
9,0001,9,68,78,35,56,63
10,0001,10,55,102,35,39,69
11,0001,11,85,70,45,46,54
12,0001,12,69,67,50,54,60
13,0001,13,61,72,58,41,68
14,0001,14,91,72,48,33,56
15,0001,15,61,88,46,38,67
16,0001,16,68,75,45,54,58
17,0001,17,56,79,51,49,65
18,0001,18,63,75,56,45,61
19,0001,19,81,64,45,48,62
20,0001,20,65,73,51,46,65
21,0001,21,69,83,44,39,65
22,0001,22,67,85,44,52,52
23,0001,23,75,66,32,46,81
24,0001,24,80,80,55,38,47
25,0001,25,71,85,40,45,59
26,0001,26,84,81,34,47,54
27,0001,27,13,12,6,7,4
28,0002,0,85,73,38,53,51
29,0002,1,64,85,51,42,58
30,0002,2,56,66,58,67,53
31,0002,3,67,83,34,51,65
32,0002,4,78,81,36,53,52
33,0002,5,54,69,43,75,59
34,0002,6,67,62,52,58,61
35,0002,7,62,78,50,48,62
36,0002,8,67,84,48,38,63
37,0002,9,76,80,40,44,60
38,0002,10,77,77,47,49,50
39,0002,11,69,71,42,57,61
40,0002,12,76,79,46,41,58
41,0002,13,64,91,44,45,56
42,0002,14,82,67,43,44,64
43,0002,15,72,82,38,53,55
44,0002,16,81,71,52,44,52
45,0002,17,67,90,47,42,54
46,0002,18,58,81,47,42,72
47,0002,19,63,85,37,60,55
48,0002,20,77,62,44,46,71
49,0002,21,84,81,30,43,62
50,0002,22,86,81,33,48,52
51,0002,23,67,77,40,54,62
52,0002,24,84,76,41,50,49
53,0002,25,80,69,45,45,61
54,0002,26,79,64,49,50,58
55,0002,27,63,57,45,48,42
56,0003,0,62,116,28,37,57
57,0003,1,57,95,31,53,64
58,0003,2,62,104,29,37,68
59,0003,3,77,74,47,41,61
60,0003,4,72,87,32,47,62
61,0003,5,74,86,39,46,55
62,0003,6,72,97,38,42,51
63,0003,7,74,94,21,51,60
64,0003,8,50,59,21,29,31
65,0004,0,69,100,27,46,58
66,0004,1,82,79,43,42,54
67,0004,2,78,85,36,45,56
68,0004,3,86,92,23,47,52
69,0004,4,21,15,11,16,20
70,0005,0,71,74,56,38,61
71,0005,1,60,65,63,52,60
72,0005,2,74,64,51,42,69
73,0005,3,68,59,62,44,67
74,0005,4,60,67,60,58,55
75,0005,5,67,73,51,50,59
76,0005,6,72,49,56,48,75
77,0005,7,50,82,62,44,62
78,0005,8,76,71,47,47,59
79,0005,9,63,71,44,62,60
80,0005,10,74,74,48,39,65
81,0005,11,58,87,52,47,56
82,0005,12,80,58,53,54,55
83,0005,13,61,68,55,51,65
84,0005,14,73,72,58,49,48
85,0005,15,78,58,54,49,61
86,0005,16,74,67,47,55,57
87,0005,17,64,62,56,50,68
88,0005,18,77,76,54,50,43
89,0005,19,69,71,45,48,67
90,0005,20,70,63,48,59,60
91,0005,21,73,74,50,46,57
92,0005,22,64,81,41,54,60
93,0005,23,82,67,43,46,62
94,0005,24,73,67,51,55,54
95,0005,25,72,73,51,42,62
96,0005,26,65,70,66,48,51
97,0005,27,62,87,41,50,60
98,0005,28,80,63,63,43,51
99,0005,29,61,73,52,55,59
100,0005,30,67,71,60,50,52
101,0005,31,68,76,45,42,69
102,0005,32,65,55,58,69,53
103,0005,33,81,79,42,54,44
104,0005,34,86,74,43,41,56
105,0005,35,64,61,56,52,67
106,0005,36,86,65,48,48,53
107,0005,37,58,74,55,62,51
108,0005,38,67,71,62,51,49
109,0005,39,72,73,41,52,62
110,0005,40,72,64,53,48,63
111,0005,41,85,54,52,53,56
112,0005,42,68,68,56,49,59
113,0005,43,59,72,55,58,56
114,0005,44,52,82,49,53,64
115,0005,45,65,68,60,51,56
116,0005,46,74,55,49,57,65
117,0005,47,67,67,53,53,60
118,0005,48,77,76,48,42,57
119,0005,49,74,72,41,47,66
120,0005,50,69,68,65,43,55
121,0005,51,66,69,34,60,71
122,0005,52,69,68,65,30,68
123,0005,53,64,66,53,53,64
124,0005,54,86,68,53,47,46
125,0005,55,67,74,36,54,69
126,0005,56,61,85,44,53,57
127,0005,57,68,82,45,55,50
128,0005,58,25,28,28,27,17
129,0006,0,52,159,16,13,60
130,0006,1,68,164,5,9,54
131,0006,2,66,152,9,10,63
132,0006,3,51,166,10,8,65
133,0006,4,49,164,11,15,61
134,0006,5,54,165,13,13,55
135,0006,6,56,157,13,11,63
136,0006,7,41,175,12,15,57
137,0006,8,48,171,13,17,51
138,0006,9,50,143,15,13,79
139,0006,10,57,159,12,15,57
140,0006,11,48,172,9,11,60
141,0006,12,51,161,16,8,64
142,0006,13,66,167,9,13,45
143,0006,14,60,154,15,17,54
144,0006,15,55,144,12,19,70
145,0006,16,46,164,6,14,70
146,0006,17,51,152,16,18,63
147,0006,18,53,170,4,9,64
148,0006,19,49,172,11,15,53
149,0006,20,42,177,11,12,58
150,0006,21,45,168,8,19,60
151,0006,22,38,173,14,15,60
152,0006,23,67,147,14,20,52
153,0006,24,64,161,11,10,54
154,0006,25,58,170,12,8,52
155,0006,26,56,154,11,17,62
156,0006,27,36,186,8,7,63
157,0006,28,50,155,22,17,56
158,0006,29,41,176,10,13,60
159,0006,30,44,170,8,11,67
160,0006,31,57,163,8,15,57
