NOMBRE_REGION,VOTOS_TOTALES_PRES,VOTOS_JXC_PRES,PORCENTAJE_JXC_PRES
COMUNA 01,122034,54568,44.72
COMUNA 02,104294,65519,62.82
COMUNA 03,117157,46502,39.69
COMUNA 04,136899,47191,34.47
COMUNA 05,121975,48489,39.75
COMUNA 06,127594,58450,45.81
COMUNA 07,134121,53251,39.7
COMUNA 08,107120,31848,29.73
COMUNA 09,116632,42504,36.44
COMUNA 10,118733,47071,39.64
COMUNA 11,137736,60101,43.63
COMUNA 12,152159,69058,45.39
COMUNA 13,168762,97275,57.64
COMUNA 14,156784,90998,58.04
COMUNA 15,128547,50344,39.16
